127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002869
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 200, 0.001606
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/jquery.js, HTTP/1.1, 200, 0.000403
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/calendar.js, HTTP/1.1, 200, 0.000537
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/web2py.js, HTTP/1.1, 200, 0.000539
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/vue.js, HTTP/1.1, 200, 0.000407
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/default_index.js, HTTP/1.1, 200, 0.002541
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/marked.min.js, HTTP/1.1, 200, 0.000640
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/js/vue.min.js, HTTP/1.1, 200, 0.000505
127.0.0.1, 2018-05-17 13:32:01, GET, /start/static/font-awesome-4.6.3/fonts/fontawesome-webfont.woff2, HTTP/1.1, 200, 0.000326
127.0.0.1, 2018-05-17 13:32:01, GET, /start/api/get_my_email, HTTP/1.1, 200, 0.073482
127.0.0.1, 2018-05-17 13:32:01, GET, /start/api/get_memos, HTTP/1.1, 200, 0.101257
127.0.0.1, 2018-05-17 13:32:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000245
127.0.0.1, 2018-05-17 13:32:30, GET, /start/default/index, HTTP/1.1, 200, 0.038960
127.0.0.1, 2018-05-17 13:32:30, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.000432
127.0.0.1, 2018-05-17 13:32:30, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.000652
127.0.0.1, 2018-05-17 13:32:30, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.000528
